Planning Area,"Below $1,000","$1,000 - $1,499","$1,500 - $1,999","$2,000 - $2,499","$2,500 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 - $8,999","$9,000 - $9,999","$10,000 - $10,999","$11,000 - $11,999","$12,000 & Over",cum_med_pop,med_inc_bracket,median_inc
ANG MO KIO,9.7,21.799999999999997,29.699999999999996,37.099999999999994,43.89999999999999,55.39999999999999,65.19999999999999,73.1,79.1,83.1,86.19999999999999,88.39999999999999,90.99999999999999,92.69999999999999,101.29999999999998,50.64999999999999,"$3,000 - $3,999",3500
BEDOK,12.2,25.799999999999997,37.9,47.599999999999994,57.199999999999996,74.39999999999999,87.8,100.0,109.2,114.60000000000001,119.7,123.7,128.2,130.89999999999998,150.29999999999998,75.14999999999999,"$4,000 - $4,999",4500
BISHAN,3.9,7.6,9.8,12.700000000000001,15.100000000000001,19.700000000000003,24.400000000000002,28.200000000000003,30.900000000000002,33.7,36.800000000000004,38.6,40.4,42.0,49.6,24.8,"$5,000 - $5,999",5500
BUKIT BATOK,6.1,12.6,17.8,23.6,28.5,37.1,44.7,51.400000000000006,55.800000000000004,59.300000000000004,61.900000000000006,64.30000000000001,66.80000000000001,68.30000000000001,75.70000000000002,37.85000000000001,"$4,000 - $4,999",4500
BUKIT MERAH,8.5,17.7,24.6,31.200000000000003,35.6,43.900000000000006,50.900000000000006,56.400000000000006,61.10000000000001,65.30000000000001,68.30000000000001,70.4,72.60000000000001,74.10000000000001,82.10000000000001,41.050000000000004,"$3,000 - $3,999",3500
BUKIT PANJANG,5.1,11.6,16.8,23.1,29.6,40.1,48.400000000000006,55.60000000000001,61.10000000000001,64.9,68.30000000000001,70.9,72.9,73.9,80.0,40.0,"$3,000 - $3,999",3500
BUKIT TIMAH,2.1,3.5,4.7,5.9,6.6000000000000005,8.700000000000001,10.700000000000001,13.600000000000001,14.900000000000002,16.8,18.400000000000002,19.900000000000002,22.1,23.200000000000003,36.900000000000006,18.450000000000003,"$9,000 - $9,999",9500
CHOA CHU KANG,7.3,15.1,21.4,28.9,35.4,49.9,60.5,68.5,74.4,79.80000000000001,84.80000000000001,87.4,89.60000000000001,90.9,97.4,48.7,"$3,000 - $3,999",3500
CLEMENTI,3.8,7.4,9.8,12.100000000000001,14.700000000000001,19.700000000000003,24.000000000000004,27.600000000000005,30.700000000000006,33.900000000000006,35.60000000000001,37.400000000000006,39.10000000000001,40.10000000000001,46.20000000000001,23.100000000000005,"$4,000 - $4,999",4500
GEYLANG,6.5,12.4,16.8,22.1,25.6,33.4,39.1,43.5,47.0,49.4,51.8,53.8,55.3,56.3,61.199999999999996,30.599999999999998,"$3,000 - $3,999",3500
HOUGANG,10.1,20.9,29.099999999999998,39.5,47.2,64.2,76.0,87.1,94.5,99.5,103.6,106.39999999999999,109.6,111.5,120.7,60.35,"$3,000 - $3,999",3500
JURONG EAST,4.3,8.399999999999999,11.7,15.299999999999999,19.099999999999998,24.299999999999997,29.699999999999996,33.3,36.099999999999994,38.3,40.0,41.0,42.2,42.7,46.1,23.05,"$3,000 - $3,999",3500
JURONG WEST,13.4,27.200000000000003,38.800000000000004,51.10000000000001,62.20000000000001,85.00000000000001,104.30000000000001,117.9,126.60000000000001,136.20000000000002,142.00000000000003,146.00000000000003,149.00000000000003,150.80000000000004,158.50000000000003,79.25000000000001,"$3,000 - $3,999",3500
KALLANG,4.3,10.1,14.0,18.8,21.900000000000002,29.0,33.8,37.599999999999994,41.099999999999994,43.199999999999996,44.8,46.5,47.8,48.699999999999996,55.3,27.65,"$3,000 - $3,999",3500
MARINE PARADE,1.6,2.8,4.199999999999999,5.1,6.1,8.399999999999999,10.2,11.799999999999999,12.899999999999999,13.899999999999999,14.899999999999999,15.599999999999998,16.299999999999997,16.799999999999997,21.599999999999998,10.799999999999999,"$5,000 - $5,999",5500
NOVENA,1.5,3.6,5.0,6.1,7.0,9.2,11.1,12.7,14.1,15.0,15.6,16.3,17.2,17.8,23.6,11.8,"$5,000 - $5,999",5500
OUTRAM,0.9,2.8,3.5999999999999996,4.3,5.0,6.2,7.1000000000000005,8.0,8.8,9.100000000000001,9.600000000000001,9.700000000000001,10.100000000000001,10.3,11.5,5.75,"$3,000 - $3,999",3500
PASIR RIS,7.0,11.4,15.8,21.5,25.8,35.7,44.7,51.300000000000004,56.800000000000004,60.2,63.5,66.4,68.5,70.0,77.9,38.95,"$4,000 - $4,999",4500
PUNGGOL,3.6,6.800000000000001,9.600000000000001,12.600000000000001,16.1,23.200000000000003,29.400000000000002,35.5,41.0,45.9,49.699999999999996,52.49999999999999,54.199999999999996,55.699999999999996,60.3,30.15,"$5,000 - $5,999",5500
QUEENSTOWN,4.1,8.3,11.8,15.0,18.1,22.900000000000002,27.700000000000003,31.500000000000004,34.7,37.0,39.0,40.6,42.1,43.2,49.0,24.5,"$4,000 - $4,999",4500
SEMBAWANG,3.2,6.800000000000001,9.8,13.9,16.5,23.1,27.5,32.0,35.7,38.900000000000006,41.10000000000001,42.80000000000001,44.20000000000001,44.90000000000001,47.20000000000001,23.600000000000005,"$4,000 - $4,999",4500
SENGKANG,7.5,15.4,23.1,33.0,41.0,57.4,71.6,82.69999999999999,91.49999999999999,98.89999999999999,105.1,108.8,112.8,115.1,124.39999999999999,62.199999999999996,"$4,000 - $4,999",4500
SERANGOON,4.6,10.5,14.4,18.8,22.0,30.7,37.2,43.300000000000004,47.1,49.9,52.1,53.9,55.8,57.5,68.2,34.1,"$4,000 - $4,999",4500
TAMPINES,13.0,25.7,36.2,47.900000000000006,58.2,78.80000000000001,95.70000000000002,108.50000000000001,118.60000000000001,125.7,131.3,134.70000000000002,138.4,141.0,152.6,76.3,"$3,000 - $3,999",3500
TANGLIN,0.6,0.7,0.7,1.0,1.1,1.5,2.3,2.5999999999999996,2.8,3.3,3.6999999999999997,3.8,4.1,4.199999999999999,9.0,4.5,"$12,000 & Over",12500
TOA PAYOH,6.3,12.6,17.6,22.8,27.700000000000003,36.1,43.2,48.6,52.2,55.1,57.6,59.5,61.4,62.8,68.89999999999999,34.449999999999996,"$3,000 - $3,999",3500
WOODLANDS,10.9,22.8,35.1,48.1,59.1,77.3,92.2,103.60000000000001,112.9,119.0,123.9,126.9,129.1,130.1,134.9,67.45,"$3,000 - $3,999",3500
YISHUN,10.3,23.4,33.7,43.900000000000006,52.900000000000006,70.9,83.2,93.5,99.3,103.89999999999999,108.49999999999999,111.29999999999998,113.49999999999999,114.79999999999998,119.29999999999998,59.64999999999999,"$3,000 - $3,999",3500
