Planning Area,"Below $1,000","$1,000 - $1,499","$1,500 - $1,999","$2,000 - $2,499","$2,500 - $2,999","$3,000 - $3,999","$4,000 - $4,999","$5,000 - $5,999","$6,000 - $6,999","$7,000 - $7,999","$8,000 - $8,999","$9,000 - $9,999","$10,000 - $10,999","$11,000 - $11,999","$12,000 & Over"
ANG MO KIO,9.7,12.1,7.9,7.4,6.8,11.5,9.8,7.9,6,4,3.1,2.2,2.6,1.7,8.6
BEDOK,12.2,13.6,12.1,9.7,9.6,17.2,13.4,12.2,9.2,5.4,5.1,4,4.5,2.7,19.4
BISHAN,3.9,3.7,2.2,2.9,2.4,4.6,4.7,3.8,2.7,2.8,3.1,1.8,1.8,1.6,7.6
BUKIT BATOK,6.1,6.5,5.2,5.8,4.9,8.6,7.6,6.7,4.4,3.5,2.6,2.4,2.5,1.5,7.4
BUKIT MERAH,8.5,9.2,6.9,6.6,4.4,8.3,7,5.5,4.7,4.2,3,2.1,2.2,1.5,8
BUKIT PANJANG,5.1,6.5,5.2,6.3,6.5,10.5,8.3,7.2,5.5,3.8,3.4,2.6,2,1,6.1
BUKIT TIMAH,2.1,1.4,1.2,1.2,0.7,2.1,2,2.9,1.3,1.9,1.6,1.5,2.2,1.1,13.7
CHOA CHU KANG,7.3,7.8,6.3,7.5,6.5,14.5,10.6,8,5.9,5.4,5,2.6,2.2,1.3,6.5
CLEMENTI,3.8,3.6,2.4,2.3,2.6,5,4.3,3.6,3.1,3.2,1.7,1.8,1.7,1,6.1
GEYLANG,6.5,5.9,4.4,5.3,3.5,7.8,5.7,4.4,3.5,2.4,2.4,2,1.5,1,4.9
HOUGANG,10.1,10.8,8.2,10.4,7.7,17,11.8,11.1,7.4,5,4.1,2.8,3.2,1.9,9.2
JURONG EAST,4.3,4.1,3.3,3.6,3.8,5.2,5.4,3.6,2.8,2.2,1.7,1,1.2,0.5,3.4
JURONG WEST,13.4,13.8,11.6,12.3,11.1,22.8,19.3,13.6,8.7,9.6,5.8,4,3,1.8,7.7
KALLANG,4.3,5.8,3.9,4.8,3.1,7.1,4.8,3.8,3.5,2.1,1.6,1.7,1.3,0.9,6.6
MARINE PARADE,1.6,1.2,1.4,0.9,1,2.3,1.8,1.6,1.1,1,1,0.7,0.7,0.5,4.8
NOVENA,1.5,2.1,1.4,1.1,0.9,2.2,1.9,1.6,1.4,0.9,0.6,0.7,0.9,0.6,5.8
OUTRAM,0.9,1.9,0.8,0.7,0.7,1.2,0.9,0.9,0.8,0.3,0.5,0.1,0.4,0.2,1.2
PASIR RIS,7,4.4,4.4,5.7,4.3,9.9,9,6.6,5.5,3.4,3.3,2.9,2.1,1.5,7.9
PUNGGOL,3.6,3.2,2.8,3,3.5,7.1,6.2,6.1,5.5,4.9,3.8,2.8,1.7,1.5,4.6
QUEENSTOWN,4.1,4.2,3.5,3.2,3.1,4.8,4.8,3.8,3.2,2.3,2,1.6,1.5,1.1,5.8
SEMBAWANG,3.2,3.6,3,4.1,2.6,6.6,4.4,4.5,3.7,3.2,2.2,1.7,1.4,0.7,2.3
SENGKANG,7.5,7.9,7.7,9.9,8,16.4,14.2,11.1,8.8,7.4,6.2,3.7,4,2.3,9.3
SERANGOON,4.6,5.9,3.9,4.4,3.2,8.7,6.5,6.1,3.8,2.8,2.2,1.8,1.9,1.7,10.7
TAMPINES,13,12.7,10.5,11.7,10.3,20.6,16.9,12.8,10.1,7.1,5.6,3.4,3.7,2.6,11.6
TANGLIN,0.6,0.1,0,0.3,0.1,0.4,0.8,0.3,0.2,0.5,0.4,0.1,0.3,0.1,4.8
TOA PAYOH,6.3,6.3,5,5.2,4.9,8.4,7.1,5.4,3.6,2.9,2.5,1.9,1.9,1.4,6.1
WOODLANDS,10.9,11.9,12.3,13,11,18.2,14.9,11.4,9.3,6.1,4.9,3,2.2,1,4.8
YISHUN,10.3,13.1,10.3,10.2,9,18,12.3,10.3,5.8,4.6,4.6,2.8,2.2,1.3,4.5
