Planning Area,Population
ANG MO KIO,174770.0
BEDOK,289750.0
BISHAN,90700.0
BOON LAY,30.0
BUKIT BATOK,139270.0
BUKIT MERAH,155840.0
BUKIT PANJANG,139030.0
BUKIT TIMAH,74470.0
CENTRAL WATER CATCHMENT,10.0
CHANGI,2530.0
CHANGI BAY,
CHOA CHU KANG,174330.0
CLEMENTI,91630.0
DOWNTOWN CORE,3720.0
GEYLANG,116960.0
HOUGANG,222310.0
JURONG EAST,84980.0
JURONG WEST,272660.0
KALLANG,101210.0
LIM CHU KANG,90.0
MANDAI,2120.0
MARINA EAST,
MARINA SOUTH,
MARINE PARADE,48730.0
MUSEUM,380.0
NEWTON,6920.0
NORTH-EASTERN ISLANDS,60.0
NOVENA,47990.0
ORCHARD,920.0
OUTRAM,22080.0
PASIR RIS,139890.0
PAYA LEBAR,40.0
PIONEER,100.0
PUNGGOL,109750.0
QUEENSTOWN,98050.0
RIVER VALLEY,9190.0
ROCHOR,14590.0
SELETAR,270.0
SEMBAWANG,76530.0
SENGKANG,206680.0
SERANGOON,120670.0
SIMPANG,
SINGAPORE RIVER,2720.0
SOUTHERN ISLANDS,1480.0
STRAITS VIEW,
SUNGEI KADUT,850.0
TAMPINES,261230.0
TANGLIN,19000.0
TENGAH,10.0
TOA PAYOH,124940.0
TUAS,70.0
WESTERN ISLANDS,
WESTERN WATER CATCHMENT,900.0
WOODLANDS,250290.0
YISHUN,201970.0
